,dtm,MIP,Solar_MW,Solar_capacity_mwp,Solar_installedcapacity_mwp,Wind_MW,SS_Price,boa_MWh,DA_Price
0,2020-09-20T00:00:00Z,20.06,0.0,2130.5374935,2228.2087765,996.284,2.5,0.0,32.17
1,2020-09-20T00:30:00Z,19.77,0.0,2130.5374935,2228.2087765,957.576,15.0,0.0,32.17
2,2020-09-20T01:00:00Z,28.68,0.0,2130.5374935,2228.2087765,941.044,47.95,0.0,32.0
3,2020-09-20T01:30:00Z,28.97,0.0,2130.5374935,2228.2087765,964.366,29.13,0.0,32.0
4,2020-09-20T02:00:00Z,28.19,0.0,2130.5374935,2228.2087765,918.432,28.95,0.0,31.99
5,2020-09-20T02:30:00Z,28.24,0.0,2130.5374935,2228.2087765,939.194,29.09013,0.0,31.99
6,2020-09-20T03:00:00Z,28.5,0.0,2130.5374935,2228.2087765,978.682,30.9,0.0,32.54
7,2020-09-20T03:30:00Z,29.18,0.0,2130.5374935,2228.2087765,989.786,34.4,0.0,32.54
8,2020-09-20T04:00:00Z,24.0,0.0,2130.5374935,2228.2087765,1002.902,29.0,0.0,32.28
9,2020-09-20T04:30:00Z,33.68,0.0,2130.5374935,2228.2087765,1001.324,28.9,0.0,32.28
10,2020-09-20T05:00:00Z,35.89,0.0,2130.5374935,2228.2087765,990.988,28.62,0.0,32.79
11,2020-09-20T05:30:00Z,32.88,0.00022431394,2130.5374935,2228.2087765,1001.346,29.0,0.0,32.79
12,2020-09-20T06:00:00Z,31.61,33.0588642,2130.5374935,2228.2087765,987.896,53.0,0.0,36.0
13,2020-09-20T06:30:00Z,34.91,90.113934,2130.5374935,2228.2087765,952.51,53.0,0.0,36.0
14,2020-09-20T07:00:00Z,30.59,148.539048,2130.5374935,2228.2087765,924.244,30.46,0.0,45.0
15,2020-09-20T07:30:00Z,34.65,332.297825,2130.5374935,2228.2087765,856.76,31.09,0.0,45.0
16,2020-09-20T08:00:00Z,41.77,513.89446,2130.5374935,2228.2087765,758.476,29.5,0.0,43.6
17,2020-09-20T08:30:00Z,41.89,718.240617,2130.5374935,2228.2087765,664.324,29.04,0.0,43.6
29,2020-09-20T14:30:00Z,29.11,815.830767,2130.5374935,2228.2087765,365.404,27.5904,0.0,45.0
30,2020-09-20T15:00:00Z,28.88,633.217961,2130.5374935,2228.2087765,345.108,30.0,0.0,49.4
31,2020-09-20T15:30:00Z,36.22,433.152687,2130.5102003,2228.20874,293.734,59.95,0.0,49.4
32,2020-09-20T16:00:00Z,46.13,253.658493,2130.5102003,2228.20874,244.708,59.95,0.0,55.9
33,2020-09-20T16:30:00Z,51.35,122.398824,2130.5102003,2228.20874,244.572,68.95,0.0,55.9
34,2020-09-20T17:00:00Z,54.13,45.2332194,2130.5102003,2228.20874,295.644,59.95,0.0,59.3
35,2020-09-20T17:30:00Z,55.3,6.83549066,2130.5102003,2228.20874,273.22,59.95,0.0,59.3
36,2020-09-20T18:00:00Z,53.56,8.709351e-05,2130.5102003,2228.20874,277.02,59.95,0.0,51.48
37,2020-09-20T18:30:00Z,55.14,0.0,2130.5102003,2228.20874,268.376,59.95,0.0,51.48
38,2020-09-20T19:00:00Z,54.49,0.0,2130.5102003,2228.20874,253.026,59.95,0.0,43.12
39,2020-09-20T19:30:00Z,51.48,0.0,2130.5102003,2228.20874,207.45,48.0,0.0,43.12
40,2020-09-20T20:00:00Z,42.84,0.0,2130.5102003,2228.20874,188.386,48.0,0.0,37.41
41,2020-09-20T20:30:00Z,39.42,0.0,2130.5102003,2228.20874,190.22,48.0,0.0,37.41
42,2020-09-20T21:00:00Z,42.87,0.0,2130.5102003,2228.20874,170.464,48.0,0.0,34.93
43,2020-09-20T21:30:00Z,36.1,0.0,2130.5102003,2228.20874,142.092,15.0,0.0,34.93
44,2020-09-20T22:00:00Z,24.56,0.0,2130.5102003,2228.20874,132.228,2.0,0.0,33.27
